CNTRY_ISSUE_ISO,EXCH_CODE,order
AE,UH,0
AE,DU,1
AM,AY,0
AR,AR,0
AT,AV,0
AU,AU,0
BA,BK,0
BA,BT,1
BB,BA,0
BD,BD,0
BE,BB,0
BG,BU,0
BH,BI,0
BM,BH,0
BO,VB,0
BR,BZ,0
BS,BM,0
BW,BG,0
CA,CN,0
CH,SW,0
CH,VX,1
CI,BC,0
CL,CI,0
CM,DE,0
CN,CH,0
CN,C2,1
CN,C1,2
CO,CB,0
CR,CR,0
CV,VR,0
CY,CY,0
CZ,CP,0
DE,GR,0
DE,QT,1
DE,TH,2
DE,GZ,3
DE,BQ,4
DK,DC,0
EC,ED,0
EE,ET,0
EG,EY,0
ES,SM,0
FI,FH,0
FJ,FS,0
FR,FP,0
GB,B3,0
GB,L3,1
GB,PO,2
GB,EB,3
GB,IX,4
GB,LN,5
GB,S2,6
GB,TQ,7
GB,S1,8
GB,LI,9
GB,QX,10
GB,PZ,11
GB,A0,12
GB,LD,13
GE,GG,0
GG,GU,0
GH,GN,0
GR,GA,0
GT,GL,0
HK,HK,0
HK,H2,1
HK,H1,2
HR,CZ,0
HU,HB,0
ID,IJ,0
IE,ID,0
IL,IT,0
IN,IN,0
IQ,IQ,0
IS,IR,0
IT,IM,0
IT,TE,1
IT,HM,2
JM,JA,0
JO,JR,0
JP,JP,0
KE,KN,0
KH,KH,0
KN,EK,0
KR,KS,0
KR,KF,1
KW,KK,0
KY,KY,0
KZ,KZ,0
LA,LS,0
LB,LB,0
LK,SL,0
LT,LH,0
LU,LX,0
LV,LR,0
MA,MC,0
MD,MB,0
ME,ME,0
MK,MS,0
MN,MO,0
MT,MV,0
MU,MP,0
MW,MW,0
MX,MM,0
MY,MK,0
MZ,MZ,0
NA,NW,0
NG,NL,0
NI,NC,0
NL,NA,0
NO,NO,0
NP,NK,0
NZ,NZ,0
OM,OM,0
PA,PP,0
PE,PE,0
PG,PB,0
PH,PM,0
PK,PA,0
PL,PW,0
PS,PS,0
PT,PL,0
PY,PN,0
QA,QD,0
RO,RO,0
RS,SG,0
RU,RU,0
RU,RM,1
RW,RW,0
SA,AB,0
SC,SZ,0
SE,SS,0
SG,SP,0
SI,SV,0
SK,SK,0
SL,SU,0
SZ,SD,0
TH,TB,0
TN,TU,0
TR,TI,0
TT,TP,0
TW,TT,0
TZ,TZ,0
UA,UZ,0
UG,UG,0
US,US,0
UY,UY,0
VE,VC,0
VN,VN,0
ZA,SJ,0
ZM,ZL,0
ZW,ZH,0
